playlist_name,track_playlist,recommendation,hit_number,hit_track
feelin' it,"Weathered by Jack Garratt, From Eden by Hozier, Give Me Something by Jarryd James, Love Somebody by St. Lucia, Do You Remember by Jarryd James, With You by Drake, Closer by JMR, Please Don't Go by Joel Adams, Kids by OneRepublic, Smoke And Mirrors by Imagine Dragons, Shots by Imagine Dragons, Demons by Imagine Dragons, Radioactive by Imagine Dragons, Hold Back The River by James Bay, Higher Love by James Vincent McMorrow, Apologize by OneRepublic, Fire by Jack Garratt, Closer by The Chainsmokers, Blame by Bastille, Water by Jack Garratt, Brother by Jack the Fox, People by Youth Club, September Song by JP Cooper, Waiting by Seramic, Frustrated by R.LUM.R, Falling by Jack Garratt, River by Leon Bridges, Numb by Max Jury, Love Again by Ta-ku, Can I Kick It? by A Tribe Called Quest, Let It Rain by Mat Kearney, Maps by OYLS, The Night by HONNE, Warm by SG Lewis, Heaven by OneRepublic, Ghost by Matt Gresham, Unstable by Zak Abel, Trouble by R3HAB, Nowhere to Run by My Brothers And I, Vaporize by Amos Lee, Believer by Imagine Dragons, White Iverson by Jackson Breit, Never Give Up by Sia, Wake Up by Arcade Fire, Growing Up by Phil Good, Naked by Christopher, Stay (with Alessia Cara) by Zedd, Sooner Or Later by Aaron Carter, I Love You by Axwell /\ Ingrosso, Weak by AJR, I Need You by Armin van Buuren, On My Way by Tiësto, Waiting by FKJ, Drive by Dornik, Love Is Mystical by Cold War Kids, The Answer by Big Words, Give It Up by George Taylor, Let Me Down Easy by Max Frost","Demons by Imagine Dragons, Weathered by Jack Garratt, Apologize by OneRepublic, Unsteady by X Ambassadors, Let Her Go by Passenger, The Reason by Hoobastank, I'm Yours by Jason Mraz, Redemption Song by Bob Marley & The Wailers, Is This Love by Bob Marley & The Wailers, Budapest by George Ezra",3,"Weathered by Jack Garratt, Demons by Imagine Dragons, Apologize by OneRepublic"
Hot Stuff,"Ring My Bell by Les tubes du nouvel an, Night Fever by Bee Gees, If I Can't Have You by Yvonne Elliman, Jive Talkin' by Bee Gees, More Than A Woman by Tavares, All Day and All of the Night by The Kinks, Walk On By by Dionne Warwick, Downtown by Petula Clark, I Will Survive by Gloria Gaynor, Mandy by Barry Manilow, Suspicious Minds by Elvis Presley, Jailhouse Rock by Elvis Presley, Rosetta by Georgie Fame","Stayin' Alive by Bee Gees, Jailhouse Rock by Elvis Presley, Heartbreaker by Dionne Warwick, Don't Stop Believin by Journey, Uptown Funk by Mark Ronson ft. Bruno Mars, I Wanna Dance with Somebody (Who Loves Me) by Whitney Houston, Superstition by Stevie Wonder, Happy by Pharrell Williams, Ain't No Mountain High Enough by Marvin Gaye & Tammi Terrell, I Will Survive by Gloria Gaynor",2,"I Will Survive by Gloria Gaynor, Jailhouse Rock by Elvis Presley"
my jams,"What They Want by Russ, Fake Love by Drake, Practice by Drake, Caroline by Aminé, Cake by Flo Rida, Ride by Twenty One Pilots, Low Life by Future, Blessings by Big Sean, Flex (Ooh, Ooh, Ooh) by Rich Homie Quan, Needed Me by Rihanna, Sex With Me by Rihanna, All Time Low by Jon Bellion, Someone Like You by Adele, Ho Hey by The Lumineers, All of Me by John Legend, Trumpets by Jason Derulo, Beautiful by Christina Aguilera, Bleeding Love by Leona Lewis, Milkshake by Kelis, Seven Nation Army by The White Stripes, Gravity by John Mayer","Take Care by Drake feat. Rihanna, All of Me by John Legend, Diamonds by Rihanna, Hold On, We're Going Home by Drake, Gravity by John Mayer, Bright Lights by Gary Clark Jr., Love On The Brain by Rihanna, Preach by John Legend, Laugh Now Cry Later by Drake, The Story of O.J. by JAY-Z",2,"All of Me by John Legend, Gravity by John Mayer"
A$AP,"Peso by A$AP Rocky, Purple Swag by A$AP Rocky, LVL by A$AP Rocky, Phoenix by A$AP Rocky, Suddenly by A$AP Rocky, Pain by A$AP Rocky, Celebration by A$AP Rocky, Peso by A$AP Rocky, LVL by A$AP Rocky, Phoenix by A$AP Rocky, Suddenly by A$AP Rocky, Pain by A$AP Rocky, Purple Swag by A$AP Rocky, Purple Swag by DJ Drobitussin, Peso by DJ Drobitussin","Electric Relaxation by A Tribe Called Quest, L$D by A$AP Rocky, Red Red Wine by UB40, Feeling Good by Michael Bublé, Could You Be Loved by Bob Marley & The Wailers, Empire State of Mind by Jay-Z & Alicia Keys, Lost by Frank Ocean, Toast by Koffee, Come Away With Me by Norah Jones, Doo Wop (That Thing) by Lauryn Hill",0,
September '17,"All Night by Schilly, Friends (with BloodPop®) by Justin Bieber, Tell Me You Love Me by Demi Lovato, Walk On Water by Thirty Seconds To Mars, Learn To Let Go by Kesha, Silence by Marshmello, Nobody Like You by Kaskade, Life Changes by Thomas Rhett, REDMERCEDES by Aminé, Know It All by Hoodie Allen, Too Good At Goodbyes by Sam Smith, Love So Soft by Kelly Clarkson, Quicksand by SZA, OMG by Camila Cabello, Either Way by Snakehips, rockstar by Post Malone, My Way by Tyga, Find You by Nick Jonas, Alone by Jessie Ware, Boys by Charli XCX, White Iverson by Post Malone","Scars To Your Beautiful by Alessia Cara, Stronger (What Doesn't Kill You) by Kelly Clarkson, Rise Up by Andra Day, The Climb by Miley Cyrus, Unwritten by Natasha Bedingfield, Brave by Sara Bareilles, Firework by Katy Perry, Fight Song by Rachel Platten, Skyscraper by Demi Lovato, High Hopes by Panic! At The Disco",0,
my jams,"What They Want by Russ, Fake Love by Drake, Practice by Drake, Caroline by Aminé, Cake by Flo Rida, Ride by Twenty One Pilots, Low Life by Future, Blessings by Big Sean, Flex (Ooh, Ooh, Ooh) by Rich Homie Quan, Needed Me by Rihanna, Sex With Me by Rihanna, All Time Low by Jon Bellion, Someone Like You by Adele, Ho Hey by The Lumineers, All of Me by John Legend, Trumpets by Jason Derulo, Beautiful by Christina Aguilera, Bleeding Love by Leona Lewis, Milkshake by Kelis, Seven Nation Army by The White Stripes, Gravity by John Mayer","Start a Fire by John Legend, Diamonds by Rihanna, Passionfruit by Drake, Gravity by John Mayer, American Oxygen by Rihanna, Hold On, We're Going Home by Drake, All of Me by John Legend, Bright Lights by Gary Clark Jr., Take Care by Drake & Rihanna, The Weight by The Band",2,"All of Me by John Legend, Gravity by John Mayer"
party music,"Everything Is Everything by Ms. Lauryn Hill, Sleepyhead by Passion Pit, I Wish by Stevie Wonder, Stand! by Sly & The Family Stone, It's Alright by Graham Central Station, Take Back the Night by Justin Timberlake, Let's Go Crazy by Prince, Thriller by Michael Jackson, 1999 by Prince, We Can't Stop by Miley Cyrus, Around The World by Daft Punk, The Devil Went Down to Georgia by The Charlie Daniels Band, Kids by MGMT, The Reeling by Passion Pit, The Walk by Mayer Hawthorne, Hollywood Swinging by Kool & The Gang, Up For The Down Stroke by Parliament","Uptown Funk by Mark Ronson ft. Bruno Mars, Shut Up and Dance by WALK THE MOON, Can't Stop the Feeling! by Justin Timberlake, Don't Stop Me Now by Queen, Take on Me by a-ha, Happy by Pharrell Williams, I Wanna Dance with Somebody (Who Loves Me) by Whitney Houston, Let's Go Crazy by Prince, Treasure by Bruno Mars, Dance, Dance by Fall Out Boy",1,Let's Go Crazy by Prince
,,,,
,,,,
,,,63,
