playlist_name,track_playlist,recommendation,hit_number,hit_track
chill,"All I Want by Kodaline, Photograph by Ed Sheeran, Not Today by Imagine Dragons, Flowers In Your Hair by The Lumineers, Rivers And Roads by The Head and the Heart, One by Ed Sheeran, Say Something by A Great Big World, Gravity by John Mayer, My Heart Is Open by Maroon 5, Budapest by George Ezra, Take Me To Church by Hozier, Let It All Go by RHODES, People Help The People by Birdy, Shadow by Birdy, Words by Birdy, Save Yourself by Birdy, Heart Of Gold by Birdy, Fire and Rain by Birdy, Down by Jason Walker, You're Beautiful by James Blunt, Soldier by Gavin DeGraw, Fire and the Flood by Vance Joy, The One by Kodaline, All I Want by Kodaline, High Hopes by Kodaline, Talk by Kodaline, Believe by Mumford & Sons, The Cave by Mumford & Sons, Riptide by Vance Joy, I Choose You by Sara Bareilles, Eden by Sara Bareilles, Islands by Sara Bareilles, December by Sara Bareilles, Soap by Melanie Martinez, Million Reasons by Lady Gaga, Work Song by Hozier, 1985 by Bowling For Soup, Go Ahead and Break My Heart (feat. Gwen Stefani) by Blake Shelton, With Or Without You by U2, 7 by Catfish and the Bottlemen, Chocolate by The 1975, Love Me by The 1975, A Change Of Heart by The 1975, Paris by The 1975, Nana by The 1975, The City by The 1975, Sex by The 1975, Heart Out by The 1975, Settle Down by The 1975, Robbers by The 1975, Pressure by The 1975, Happier by Ed Sheeran, What Do I Know? by Ed Sheeran, Save Myself by Ed Sheeran, Yours by Ella Henderson, I Was Made For Loving You by Tori Kelly, This Town by Niall Horan, Never Let Me Go by Florence + The Machine, Chasing Pavements by Adele, Just A Little Bit Of Your Heart by Ariana Grande","Somebody Else by The 1975, Photograph by Ed Sheeran, Wings by Birdy, Holocene by Bon Iver, Gravity by John Mayer, Turning Tables by Adele, Don't Know Why by Norah Jones, The Night We Met by Lord Huron, Youth by Daughter, River by Leon Bridges",2,"Photograph by Ed Sheeran, Gravity by John Mayer"
Shut Up and Dance,"Tear In My Heart by Twenty One Pilots, Recover by CHVRCHES, Two Weeks by FKA twigs, Home by Edward Sharpe & The Magnetic Zeros, Rollercoaster by Bleachers, The Wolves (Act I and II) by Bon Iver, Blindsided by Bon Iver, Youth by Daughter, Do It For Me Now by Angels & Airwaves, The Real Thing by Phoenix, Pictures Of You by The Last Goodnight","Skinny Love by Bon Iver, Car Radio by Twenty One Pilots, Leave a Trace by CHVRCHES, Holocene by Bon Iver, Stressed Out by Twenty One Pilots, The Mother We Share by CHVRCHES, Redemption Song by Bob Marley & The Wailers, Somebody Else by The 1975, Clearest Blue by CHVRCHES, Ride by Twenty One Pilots",0,
Chillin ,"Work by William Singe, Sorry by William Singe, Flex (Ooh, Ooh, Ooh) by William Singe, Needed Me by William Singe, Hello by William Singe, Never Forget You by William Singe, Live and Learn by Devvon Terrell, Titanium by Madilyn Bailey, Skyfall by Madilyn Bailey, Mirrors by Madilyn Bailey, See You Again by Travis Atreo, What Hurts The Most by Boyce Avenue, Ride by Alex Aiono, Don't Let Me Down by Conor Maynard, 7 Years by Conor Maynard, Hello by Conor Maynard, Work by Conor Maynard, Never Forget You by Conor Maynard, Stitches by Conor Maynard, 7 Years by Austin Awake, Needed Me by Austin Awake, Ride by Austin Awake, Sorry by Austin Awake, Hello by Austin, Say Something by Pentatonix, Closer by The Chainsmokers, What Hurts The Most by Rascal Flatts, Bless The Broken Road by Rascal Flatts, Let It Hurt by Rascal Flatts, Please Don't Go by Joel Adams, Kill Em With Kindness by Selena Gomez, Unsteady by X Ambassadors, Unsteady by Travis Atreo, Say Something by A Great Big World, Closer by Austin Awake, Apologize by OneRepublic, Apologize by Boyce Avenue, Cut It (feat. Young Dolph) by O.T. Genasis, Down In the DM by Yo Gotti, When I'm Gone by Eminem, I Can't Make You Love Me by The March Ahead, Chasing Pavements by Adele, Change by Good Charlotte, Your Call by Secondhand Serenade, Someone Like You by Boyce Avenue, Someone Like You by Adele, Rather Be (feat. Jess Glynne) by Clean Bandit, Mercy by Shawn Mendes, You & Me by Marc E. Bassy, Once In a While by Timeflies, Little Do You Know by Alex & Sierra, Little Do You Know by Milly & Tash, Little Do You Know by Evang, Don't Let Me Down by The Chainsmokers, No Words by The Script, For the First Time by The Script, Breakeven by The Script, Secrets by OneRepublic, The Greatest by Sia, Let Me Love You by DJ Snake, Ride by Twenty One Pilots","Let It Be by The Beatles, Three Little Birds by Bob Marley & The Wailers, Unwritten by Natasha Bedingfield, I Lived by OneRepublic, Bless the Broken Road by Rascal Flatts, Redemption Song by Bob Marley & The Wailers, Fix You by Coldplay, I Can See Clearly Now by Johnny Nash, The Climb by Miley Cyrus, One Love by Bob Marley & The Wailers",0,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,68,
